Tue Dec 16 09:09:46 CST 2025,Stopped,-
Tue Dec 16 09:09:58 CST 2025,Stopped,-
Tue Dec 16 09:10:09 CST 2025,Stopped,-
Tue Dec 16 09:10:21 CST 2025,Stopped,-
Tue Dec 16 09:10:22 CST 2025,Stopped,-
Tue Dec 16 09:10:33 CST 2025,Stopped,-
Tue Dec 16 09:10:43 CST 2025,Stopped,-
Tue Dec 16 09:10:53 CST 2025,Stopped,-
Tue Dec 16 09:11:04 CST 2025,Stopped,-
Tue Dec 16 09:11:14 CST 2025,Stopped,-
Tue Dec 16 09:11:24 CST 2025,Stopped,-
Tue Dec 16 09:11:34 CST 2025,Stopped,-
Tue Dec 16 09:11:45 CST 2025,Stopped,-
Tue Dec 16 09:11:55 CST 2025,Stopped,-
Tue Dec 16 09:12:05 CST 2025,Stopped,-
Tue Dec 16 09:12:15 CST 2025,Stopped,-
Tue Dec 16 09:12:26 CST 2025,Stopped,-
Tue Dec 16 09:12:36 CST 2025,Stopped,-
Tue Dec 16 09:12:46 CST 2025,Stopped,-
Tue Dec 16 09:12:56 CST 2025,Stopped,-
Tue Dec 16 09:13:07 CST 2025,Stopped,-
Tue Dec 16 09:13:17 CST 2025,Stopped,-
Tue Dec 16 09:13:27 CST 2025,Stopped,-
Tue Dec 16 09:13:37 CST 2025,Stopped,-
Tue Dec 16 09:13:47 CST 2025,Stopped,-
Tue Dec 16 09:13:58 CST 2025,Stopped,-
Tue Dec 16 09:14:08 CST 2025,Stopped,-
Tue Dec 16 09:14:18 CST 2025,Stopped,-
Tue Dec 16 09:14:28 CST 2025,Stopped,-
Tue Dec 16 09:14:39 CST 2025,Stopped,-
Tue Dec 16 09:14:49 CST 2025,Stopped,-
Tue Dec 16 09:14:59 CST 2025,Stopped,-
Tue Dec 16 09:15:10 CST 2025,Stopped,-
Tue Dec 16 09:15:20 CST 2025,Stopped,-
Tue Dec 16 09:15:30 CST 2025,Stopped,-
Tue Dec 16 09:15:40 CST 2025,Stopped,-
Tue Dec 16 09:15:51 CST 2025,Stopped,-
Tue Dec 16 09:16:01 CST 2025,Stopped,-
Tue Dec 16 09:16:11 CST 2025,Stopped,-
Tue Dec 16 09:16:21 CST 2025,Stopped,-
Tue Dec 16 09:16:31 CST 2025,Stopped,-
Tue Dec 16 09:16:42 CST 2025,Stopped,-
Tue Dec 16 09:16:52 CST 2025,Stopped,-
Tue Dec 16 09:17:02 CST 2025,Stopped,-
Tue Dec 16 09:17:13 CST 2025,Stopped,-
Tue Dec 16 09:17:23 CST 2025,Stopped,-
Tue Dec 16 09:17:33 CST 2025,Stopped,-
Tue Dec 16 09:17:43 CST 2025,Stopped,-
Tue Dec 16 09:17:54 CST 2025,Stopped,-
Tue Dec 16 09:18:04 CST 2025,Stopped,-
Tue Dec 16 09:18:14 CST 2025,Stopped,-
Tue Dec 16 09:18:24 CST 2025,Stopped,-
Tue Dec 16 09:18:35 CST 2025,Stopped,-
Tue Dec 16 09:18:45 CST 2025,Stopped,-
Tue Dec 16 09:18:55 CST 2025,Stopped,-
Tue Dec 16 09:19:05 CST 2025,Stopped,-
Tue Dec 16 09:19:15 CST 2025,Stopped,-
Tue Dec 16 09:19:26 CST 2025,Stopped,-
Tue Dec 16 09:19:36 CST 2025,Stopped,-
Tue Dec 16 09:19:46 CST 2025,Stopped,-
Tue Dec 16 09:19:56 CST 2025,Stopped,-
Tue Dec 16 09:20:07 CST 2025,Stopped,-
Tue Dec 16 09:20:17 CST 2025,Stopped,-
Tue Dec 16 09:20:27 CST 2025,Stopped,-
Tue Dec 16 09:20:38 CST 2025,Stopped,-
Tue Dec 16 09:20:48 CST 2025,Stopped,-
Tue Dec 16 09:20:58 CST 2025,Stopped,-
Tue Dec 16 09:21:08 CST 2025,Stopped,-
Tue Dec 16 09:21:19 CST 2025,Stopped,-
Tue Dec 16 09:21:29 CST 2025,Stopped,-
Tue Dec 16 09:21:39 CST 2025,Stopped,-
Tue Dec 16 09:21:49 CST 2025,Stopped,-
Tue Dec 16 09:22:00 CST 2025,Stopped,-
Tue Dec 16 09:22:10 CST 2025,Stopped,-
Tue Dec 16 09:22:20 CST 2025,Stopped,-
Tue Dec 16 09:22:30 CST 2025,Stopped,-
Tue Dec 16 09:22:41 CST 2025,Stopped,-
Tue Dec 16 09:22:51 CST 2025,Stopped,-
Tue Dec 16 09:23:01 CST 2025,Stopped,-
Tue Dec 16 09:23:11 CST 2025,Stopped,-
Tue Dec 16 09:23:22 CST 2025,Stopped,-
